AA Milne
Benjamin Franklin
Benjamin Harrison
Benjamin Spock
Benny Andersson
Benny Goodman
Benny Hill
Berenice Bejo
Bernadette Peters
Bernard Madoff
Bernie Mac
Berry Gordy
Bert Convy
Bert Lahr
Bert Parks
Bertolt Brecht
Bertrand Russell
Bess Myerson
Bess Truman
Bessie Smith
Betsy Ross
Bette Davis
Bette Midler
Betty Ford
Betty Friedan
Betty Grable
Betty Hutton
Betty Thomas
Betty White
Beverly Sills
Beyonce
Beyonce Knowles
Bianca Jagger
Bibi Andersson
Big Bird
Big Bopper
Bill Berry
Bill Bixby
Bill Bradley
Bill CW McCall Fries
Bill Clinton
Bill Cosby
Bill Cullen
Bill Engvall
Bill Gates
Bill Hader
Bill Haley
Bill Hickok
Bill Hicks
Bill Maher
Bill Mauldin
Bill Medley
Bill Moyers
Bill Mumy
Bill Murray
Bill Paxton
Bill Pullman
Bill Russell
Billie Burke
Billie Holiday
Billie Jean King
Billie Joe Armstrong
Billy Barty
Billy Bob Thornton
Billy Burke
Billy Corgan
Billy Crudup
Billy Crystal
Billy Dee Williams
Billy Eckstine
Billy Gibbons
Billy Graham
Billy Idol
Billy Joel
Billy Mitchell
Billy Preston
Billy Ray Cyrus
Billy Wilder
Billy Zane
Billy the Kid
Bing Crosby
Bipasha Basu
Bishop Desmond Tutu
Bix Beiderbecke
Bjork
Blaise Pascal
Blake Edwards
Blake Lively
Bo Derek
Bo Diddley
Bo Jackson
Bo Schembechler
Bob Barker
Bob Captain Kangaroo Keeshan
Bob Costas
Bob Crane
Bob Denver
Bob Dole
Bob Dorough
Bob Dylan
Bob Edwards
Bob Eubanks
Bob Fosse
Bob Geldof
Bob Greene
Bob Guccione
Bob Hope
Bob Hoskins
Bob Marley
Bob Monkhouse
Bob Newhart
Bob Saget
Bob Schieffer
Bob Segar
Bob Seger
Bob Uecker
Bob Weir
Bob Wian
Bob Woodward
Bobbie Gentry
Bobby Darin
Bobby Fischer
Bobby Flay
Bobby Goldsboro
Bobby Hatfield
Bobby Hull
Bobby Knight
Bobby Orr
Bobby Rydell
Bobby Sherman
Bobby Unser
Bobby Vinton
Bonnie Bedelia
Bonnie Blair
Bonnie Franklin
Bonnie Hunt
Bonnie Parker
Bono
Booker T
Booker T Washington
Boone
Borat
Boris Karloff
Boris Pasternak
Boris Spassky
Boris Yeltsin
Bow Wow
Boy George
Brad Dourif
Brad Garrett
Brad Nowell
Brad Pitt
Bradley Cooper
Bradley McIntosh
Bram Stoker
Branagh
Brandon Lee
Brandon Routh
Brandy
Branford Marsalis
Brenda Blethyn
Brenda Fricker
Brenda Lee
Brenda Vaccaro
Brendan Behan
Brendan Fraser
Brendan Gleeson
Brendan Shanahan
Brendon Urie
Brent Musburger
Bret Hart
Brett Hull
Brian Boitano
Brian Cox
Brian DePalma
Brian Jones
Brian Keith
Brian Lamb
Brian McKnight
Brian Williams
Brian Wilson
Brie Larson
Brigitte Bardot
Brit Marling
Britney Spears
Britt Ekland
Brittany Snow
Brittany Spears
Broderick Crawford
Brooke Langton
Brooke Shields
Brooklyn Decker
Brooks Atkinson
Brooks Robinson
Bruce Catton
Bruce Davison
Bruce Dern
Bruce Jenner
Bruce Lee
Bruce Springsteen
Bruce Willis
Bruno Ganz
Bryan Adams
Bryan Cranston
Bryan Dexter Holland
Bryan White
Buck Henry
Bucky Lasek
Bud Abbott
Bud Collyer
Bud Cort
Buddy Ebsen
Buddy Guy
Buddy Hackett
Buddy Holly
Buddy Rich
Buffalo Bill
Buffalo Bob Smith
Burgess Meredith
Burl Ives
Burt Bacharach
Burt Lancaster
Burt Reynolds
Burt Ward
Burt Young
Busby Berkeley
Buster Keaton
Butch Cassidy
Butterfly McQueen
Buzz Aldrin
C G Jung
C S Lewis
C Thomas Howell
CS Lewis
Cab Calloway
Cal Ripken
Calista Flockhart
Calvin Coolidge
Calvin Klein
Cam Gigandet
Cameron Diaz
Camilla Parker Bowles
Candace Bergen
Candace Cameron
Candice Bergen
Cantinflas
Captain Kangaroo
Cardinal John OConnor
Carew
Carey Mulligan
Carl Alfalfa Switzer
Carl Bernstein
Carl Jung
Carl Lewis
Carl Reiner
Carl Sagan
Carl Sandburg
Carl XVI Gustav
Carl Yastrzemski
Carla Bruni
Carla Gugino
Carla Zampatti
Carlo Ponti
Carlos Bernard
Carlos Castaneda
Carlos Saul Menem
Carly Simon
Carmen Electra
Carmen Miranda
Carol Burnett
Carol Channing
Carol Kane
Carol Lawrence
Carole King
Carole Lombard
Caroline Kennedy
Carolyn Dawn Johnson
Carrie Fisher
Carrie Snodgress
Carrie Underwood
CarrieAnne Moss
Carroll Baker
Carroll OConnor
Carroll Spinney
Carrot Top
Carry Nation
Cary Elwes
Cary Grant
Casey Affleck
Casey Kasem
Casey Stengel
Cassie Ventura
Cat Stevens
Catalina Sandino Moreno
Cate Blanchett
Catherine Deneuve
Catherine Keener
Catherine ZetaJones
Catherine the Great
Cathy Guisewite
Cathy Lee Crosby
Cathy Rigby
Cecil B DeMille
Cedric the Entertainer
Celeste Holm
Celia Cruz
Celine Dion
Cesar Chavez
Cesar Romero
Chad Brannon
Chad Everett
Chad Michael Murray
Chadwick Boseman
Chaka Khan
Channing Tatum
Charisma Carpenter
Charles Addams
Charles Atlas
Charles Babbage
Charles Barkley
Charles Boyer
Charles Bronson
Charles Bukowski
Charles Chaplin
Charles Coburn
Charles Dance
Charles Darwin
Charles De Gaulle
Charles Dickens
Charles Durning
Charles Everett Koop
Charles Goodyear
Charles Grodin
Charles Ives
Charles Kuralt
Charles Laughton
Charles Lindbergh
Charles Lucky Luciano
Charles Osgood
Charles Perrault
Charles Ringling
Charles Schulz
Charles Tom Thumb Stratton
Charles Yeager
Charleton Heston
Charlie Bird Parker
Charlie Brown
Charlie Chaplin
Charlie Daniels
Charlie Day
Charlie Hunnam
Charlie Musselwhite
Charlie Pride
Charlie Rich
Charlie Sheen
Charlie Watts
Charlize Theron
Charlotte Bronte
Charlotte Rampling
Charlton Heston
Chazz Palminteri
Che Guevara
Cher
Cherry Jones
Cheryl Ladd
Cheryl Tiegs
Chesley Sully Sullenberger
Chester W Nimitz
Chester a Arthur
Chet Atkins
Chet Huntley
Chevy Chase
Chiang Kai Shek
Chiang KaiShek
Chick Corea
Chick Hearn
Chico Marx
Chief Dan George
Chipper Jones
Chita Rivera
Chiwetel Ejiofor
Chloe Grace Moretz
Chloe Sevigny
Chris Brown
Chris Carter
Chris Cooper
Chris Elliott
Chris Evans
Chris Evert
Chris Farley
Chris Gaines
Chris Hemsworth
Chris Isaak
Chris Jericho
Chris Matthews
Chris Noth
Chris ODonnell
Chris Pine
Chris Pratt
Chris Rock
Chris Schenkel
Chris Squire
Chris Tucker
Chris Wallace
Chrissie Hynde
Christa McAuliffe
Christian Bale
Christian Doppler
Christian Slater
Christie Brinkley
Christina Aguilara
Christina Applegate
Christina Ricci
Christine Lahti
Christine McVie
Christine Taylor
Christo
Christoph Waltz
Christopher Columbus
Christopher Cuomo
Christopher Guest
Christopher Isherwood
Christopher Lee
Christopher Lloyd
Christopher Plummer
Christopher Reeve
Christopher Reeves
Christopher Walken
Christopher Wren
Chubby Checker
Chuck Berry
Chuck Connors
Chuck Daly
Chuck Greenburg
Chuck Jones
Chuck Mangione
Chuck Norris
Chuck Yeager
Cicely Tyson
Cillian Murphy
Cindy Crawford
Cindy Williams
Claire Bloom
Claire Danes
Claire Foy
Claire Trevor
Clara Barton
Clara Bow
Clarence Darrow
Clark Gable
Claude Akins
Claude Debussy
Claude Lelouch
Claude Monet
Claude Pepper
Claude Rains
Claudette Colbert
Claudia Cardinale
Claudia Schiffer
Clayton Moore
Cleo Laine
Cleopatra
Cliff Arquette
Cliff Burton
Cliff Richard
Cliff Robertson
Clint Eastwood
Clint Howard
Clinton Kelly
Clive Cussler
Clive Owen
Cloris Leachman
Clyde Barrow
Clyde W Tombaugh
Cobie Smulders
Cokie Roberts
Cole Porter
Cole Sprouse
Coleman Hawkins
Colette
Colin Farrell
Colin Firth
Colin L Powell
Colin Powell
Colleen Dewhurst
Colonel Harland Sanders
Common
Conan OBrien
Conan Obrien
Concetta Tomei
Condi Rice
Condoleezza Rice
Connie Chung
Connie Francis
Connie Mack
Connie Stevens
Conrad Hilton
Constance Moore
Conway Twitty
Coolio
Corbin Bernsen
Coretta Scott King
Cornel Wilde
Count Basie
Count Dracula
Courteney Cox
Courtnee Draper
Courtney Love
Craig Kilborn
Craig Robinson
Craig Sheffer
Craig T Nelson
Cree Summer
Cris Collinsworth
Criss Angel
Crystal Gayle
Cuba Gooding
Cuba Gooding Jr
Culkin
Curly Howard
Curt Gowdy
Curtis Mayfield
Curtis Sliwa
Cy Young
Cybill Shepherd
Cyd Charisse
Cyndi Lauper
Cynthia Nixon
Cyril Ritchard
Cyrus McCormick
DH Lawrence
DW Griffith
Dabney Coleman
Daisy Fuentes
Dakota Fanning
Dakota Johnson
Dalai Lama
Dale Carnegie
Dale Earnhardt
Dale Earnhart
Dale Evans
Dale Robertson
Damon Runyon
Damon Wayans
Dan
Dan Aykroyd
Dan Blocker
Dan Brown
Dan Castellaneta
Dan George
Dan Jansen
Dan Marino
Dan Millman
Dan Peek
Dan Quayle
Dan Rather
Dan Rowan
Dana Carvey
Dana Hamm
